🇨🇳 喜欢,#genre#
舞曲视频4,https://vd2.bdstatic.com/mda-mkn56h2g8ux3dtxq/sc/cae_h264/1637642599802363137/mda-mkn56h2g8ux3dtxq.mp4
车载一小时,http://gcw.bdcdn.shoujiduoduo.com/201805/0748-641.mp4
车载DJ视频1,https://vdse.bdstatic.com//7e9d2da860d4ac39c0ea86502360d6fe.mp4
车载DJ视频2,https://vdse.bdstatic.com//9f5e75775cfd2e45f70fcc528ee8040e.mp4
车载DJ视频3,https://vd3.bdstatic.com/mda-mma2eqqhiz6s3rg3/480p/h264/1639187329216305069/mda-mma2eqqhiz6s3rg3.mp4
车载DJ视频4,https://vd3.bdstatic.com/mda-mma2eqqug8shcf44/480p/h264/1639187331279357822/mda-mma2eqqug8shcf44.mp4
车载DJ视频5,https://vd3.bdstatic.com/mda-mm42xrhp6tneefjh/480p/h264/1638670325372091423/mda-mm42xrhp6tneefjh.mp4
巨星珍藏系列:邓丽君经典歌曲精选1,https://vdse.bdstatic.com//d2b16e989b950ad5db5461066c8dbf46.mp4
巨星珍藏系列:邓丽君经典歌曲精选2,https://vdse.bdstatic.com//9b36b59762cdf4a47f8c27672b35e343.mp4
巨星珍藏系列:邓丽君经典歌曲精选3,https://vdse.bdstatic.com//a43cab220b1ac8f879a1b5e29592c9f3.mp4
巨星珍藏系列:邓丽君经典歌曲精选4,https://vdse.bdstatic.com//286f53c579b11eecd2d70f985a685ae9.mp4
邓丽君经典歌曲联唱,https://vdse.bdstatic.com//e4ef0d3bbf543b6ad61553680052a800.mp4
翻唱闽南歌曲 认份,https://vd2.bdstatic.com/mda-kcki0ba6ykzh683i/sc/mda-kcki0ba6ykzh683i.mp4
翻唱闽南歌曲 酒杯情,https://vd4.bdstatic.com/mda-mk89e13cre9xihhx/sc/cae_h264/1636440610393221805/mda-mk89e13cre9xihhx.mp4
翻唱闽南歌曲 今生一段情,https://vd3.bdstatic.com/mda-mhgvnyaj4qxpbvvy/720p/h264/1629233898591836788/mda-mhgvnyaj4qxpbvvy.mp4
翻唱闽南歌曲 梦中情,https://vd4.bdstatic.com/mda-nak82ydc0qg6ungm/sc/cae_h264_delogo/1642744314347465764/mda-nak82ydc0qg6ungm.mp4
翻唱闽南歌曲 被情所困,https://vd3.bdstatic.com/mda-kfv7s0d2e3izvez3/v1-cae/sc/mda-kfv7s0d2e3izvez3.mp4
翻唱闽南歌曲 感情有靠岸,https://vd3.bdstatic.com/mda-khqvm1hwdfg1tehr/v1-cae/sc/mda-khqvm1hwdfg1tehr.mp4

🇨🇳 铁齿铜牙纪晓岚,#genre#
铁齿铜牙纪晓岚I 第一集,https://txmov2.a.kwimgs.com/bs3/video-hls/5189835685412341493_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5201376159691089640_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三集,https://txmov2.a.kwimgs.com/bs3/video-hls/5239375284210688597_hlshd15.m3u8
铁齿铜牙纪晓岚I 第四集,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093806455146697_hlshd15.m3u8
铁齿铜牙纪晓岚I 第五集,https://txmov2.a.kwimgs.com/bs3/video-hls/5223331208477788648_hlshd15.m3u8
铁齿铜牙纪晓岚I 第六集,https://txmov2.a.kwimgs.com/bs3/video-hls/5241064134569936292_hlshd15.m3u8
铁齿铜牙纪晓岚I 第七集,https://txmov2.a.kwimgs.com/bs3/video-hls/5205035333929238923_hlshd15.m3u8
铁齿铜牙纪晓岚I 第八集,https://txmov2.a.kwimgs.com/bs3/video-hls/5204753861695148760_hlshd15.m3u8
铁齿铜牙纪晓岚I 第九集,https://txmov2.a.kwimgs.com/bs3/video-hls/5246975105769336824_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十集,https://txmov2.a.kwimgs.com/bs3/video-hls/5256545257134268388_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十一集,https://txmov2.a.kwimgs.com/bs3/video-hls/5192931913725958598_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5209820410839986526_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十三集,https://txmov2.a.kwimgs.com/bs3/video-hls/5246130680974234085_hlshd15.m3u8
铁齿铜牙纪晓岚I和第十四集,https://txmov2.a.kwimgs.com/bs3/video-hls/5199405834544758981_hlshd15.m3u8
铁齿铜牙纪晓岚I第十五集,https://txmov2.a.kwimgs.com/bs3/video-hls/5218827610233741606_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十六集,https://txmov2.a.kwimgs.com/bs3/video-hls/5225301535927917986_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十七集,https://txmov2.a.kwimgs.com/bs3/video-hls/5188146839016561493_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十八集,https://txmov2.a.kwimgs.com/bs3/video-hls/5227834807765583966_hlshd15.m3u8
铁齿铜牙纪晓岚I 第十九集,https://txmov2.a.kwimgs.com/bs3/video-hls/5193494862341579373_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十集,https://txmov2.a.kwimgs.com/bs3/video-hls/5212916635971219079_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十一集,https://txmov2.a.kwimgs.com/bs3/video-hls/5204753859831730416_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5231212507018901825_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十三集,https://txmov2.a.kwimgs.com/bs3/video-hls/5192368963062536528_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十四集,https://txmov2.a.kwimgs.com/bs3/video-hls/5201094687267977284_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十五集,https://txmov2.a.kwimgs.com/bs3/video-hls/5234590207910516390_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十六集,https://txmov2.a.kwimgs.com/bs3/video-hls/5201094686875682859_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十七集,https://txmov2.a.kwimgs.com/bs3/video-hls/5189835688572881329_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十八集,https://txmov2.a.kwimgs.com/bs3/video-hls/5207287136691571086_hlshd15.m3u8
铁齿铜牙纪晓岚I 第二十九集,https://txmov2.a.kwimgs.com/bs3/video-hls/5215731384946903562_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十集,https://txmov2.a.kwimgs.com/bs3/video-hls/5239938232785864559_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十一集,https://txmov2.a.kwimgs.com/bs3/video-hls/5229805135145666354_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十二集,https://txmov2.a.kwimgs.com/bs3/video-hls/5226708907786597436_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十三集,https://txmov2.a.kwimgs.com/bs3/video-hls/5200813211459409876_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十四集,https://txmov2.a.kwimgs.com/bs3/video-hls/5212916635485360589_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十五集,https://txmov2.a.kwimgs.com/bs3/video-hls/5214324012111359331_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十六集,https://txmov2.a.kwimgs.com/bs3/video-hls/5201657637463988722_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十七集,https://txmov2.a.kwimgs.com/bs3/video-hls/5226708909787936610_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十八集,https://txmov2.a.kwimgs.com/bs3/video-hls/5244160358049310930_hlshd15.m3u8
铁齿铜牙纪晓岚I 第三十九集,https://txmov2.a.kwimgs.com/bs3/video-hls/5224457108637573625_hlshd15.m3u8
铁齿铜牙纪晓岚I 第四十集,https://txmov2.a.kwimgs.com/bs3/video-hls/5257671154675984197_hlshd15.m3u8

🇨🇳 赤焰锦衣卫,#genre#
﻿赤焰锦衣卫 第01集,https://vip.lz-cdn9.com/20221231/16778_e7666586/index.m3u8
赤焰锦衣卫 第02集,https://vip.lz-cdn9.com/20221231/16779_38ed83a0/index.m3u8
赤焰锦衣卫 第03集,https://vip.lz-cdn9.com/20221231/16780_7c9b6742/index.m3u8
赤焰锦衣卫 第04集,https://vip.lz-cdn14.com/20230104/16759_4c65503b/index.m3u8
赤焰锦衣卫 第05集,https://vip.lz-cdn14.com/20230111/17159_84083cec/index.m3u8
赤焰锦衣卫 第06集,https://vip.lz-cdn14.com/20230118/17534_0e417c9c/index.m3u8
赤焰锦衣卫 第07,https://vip.lz-cdn14.com/20230125/17928_a85638cb/index.m3u8
赤焰锦衣卫 第09集,https://vip.lz-cdn14.com/20230208/18619_4976ff19/index.m3u8
赤焰锦衣卫 第10集,https://vip.lz-cdn14.com/20230215/18956_595bd54e/index.m3u8
赤焰锦衣卫 第11集,https://vip.lz-cdn14.com/20230222/19324_274d9862/index.m3u8
赤焰锦衣卫 第12集,https://vip.lz-cdn14.com/20230301/19690_06102866/index.m3u8
赤焰锦衣卫 第13集,https://vip.lz-cdn14.com/20230308/20039_ec7149b8/index.m3u8
赤焰锦衣卫 第14集,https://vip.lz-cdn14.com/20230315/20390_9982b9ee/index.m3u8
赤焰锦衣卫 第15集,https://vip.lz-cdn14.com/20230322/20740_824f29cf/index.m3u8
赤焰锦衣卫 第16集,https://vip.lz-cdn14.com/20230329/21085_b4de445a/index.m3u8
赤焰锦衣卫 第17集,https://vip.lz-cdn14.com/20230405/21390_cca4dedc/index.m3u8
赤焰锦衣卫 第18集,https://vip.lz-cdn14.com/20230412/21683_105bf43e/index.m3u8
赤焰锦衣卫 第19集,https://vip.lz-cdn14.com/20230419/22006_68ec6a1e/index.m3u8
赤焰锦衣卫 第20集,https://vip.lz-cdn14.com/20230426/22408_e50e0fc7/index.m3u8

🇨🇳 课堂,#genre#
一年级,http://liveplay-kk.rtxapp.com/live/program/live/kkyinj/1300000/mnf.m3u8
二年级,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8
三年级,http://liveplay-kk.rtxapp.com/live/program/live/kksannj/1300000/mnf.m3u8
四年级,http://liveplay-kk.rtxapp.com/live/program/live/kksinj/1300000/mnf.m3u8
五年级,http://liveplay-kk.rtxapp.com/live/program/live/kkwunj/1300000/mnf.m3u8
六年级,http://liveplay-kk.rtxapp.com/live/program/live/kkliunj/1300000/mnf.m3u8
初一,http://liveplay-kk.rtxapp.com/live/program/live/kkqinj/1300000/mnf.m3u8
初二,http://liveplay-kk.rtxapp.com/live/program/live/kkbanj/1300000/mnf.m3u8
初三,http://liveplay-kk.rtxapp.com/live/program/live/kkjiunj/1300000/mnf.m3u8
高一,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
高二,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
高三,http://liveplay-kk.rtxapp.com/live/program/live/kkgaosannj/1300000/mnf.m3u8
